Time(s),Cell 0 
0,-0.01460765
0.099962,-0.01293897
0.199924,-0.01091863
0.299886,-0.01281598
0.399848,-0.006966674
0.49981,-0.006526858
0.599772,-0.006297201
0.699734,-0.005125728
0.799696,-0.01059297
0.899658,-0.005790551
0.99962,-0.007753045
1.099582,-0.0113282
1.199544,-0.0134872
1.299506,-0.008909285
1.399468,-0.01409966
1.49943,-0.01158541
1.599392,-0.009808002
1.699354,-0.01331263
1.799316,-0.009536242
1.899278,-0.01376377
1.99924,-0.01296792
2.099202,-0.01243083
2.199164,-0.01225715
2.299126,-0.01553255
2.399088,-0.01348966
2.49905,-0.01380811
2.599012,-0.01538824
2.698974,-0.01527556
2.798936,-0.01347132
2.898898,-0.01324334
2.99886,-0.01197595
3.098822,-0.01163954
3.198784,-0.01158815
3.298746,-0.01081642
3.398708,-0.01376718
3.49867,-0.01092669
3.598632,-0.01399465
3.698594,-0.01354732
3.798556,-0.008068843
3.898518,-0.005074871
3.99848,-0.01337798
4.098442,-0.009038983
4.198404,-0.008641817
4.298366,-0.00691463
4.398328,-0.0131644
4.49829,-0.01153099
4.598252,-0.005076195
4.698214,-0.005750139
4.798176,-0.006968183
4.898138,-0.01002288
4.9981,-0.008919252
5.098062,-0.01030221
5.198024,-0.01169515
5.297986,-0.009256885
5.397948,-0.009073485
5.49791,-0.01242798
5.597872,-0.01247315
5.697834,-0.009192536
5.797796,-0.008021319
5.897758,-0.006575069
5.99772,-0.007467988
6.097682,-0.004736765
6.197644,-0.008636111
6.297606,-0.01102762
6.397568,-0.01092298
6.49753,-0.01093881
6.597492,-0.006943915
6.697454,-0.01081119
6.797416,-0.01047113
6.897378,-0.01009126
6.99734,-0.009699638
7.097302,-0.01154054
7.197264,-0.00780272
7.297226,-0.007852197
7.397188,-0.00970583
7.49715,-0.0071892
7.597112,-0.003844578
7.697074,-0.00099185
7.797036,-0.003553413
7.896998,-0.001111389
7.99696,0.003121659
8.096922,0.001570767
8.196884,-0.001284481
8.296846,0.003400797
8.396808,-0.003560205
8.49677,-0.000552046
8.596732,0.000780699
8.696694,0.000384578
8.796656,-0.00109942
8.896618,0.003402
8.99658,0.005076904
9.096542,0.002900708
9.196504,-0.000385395
9.296466,0.00184355
9.396428,0.004072363
9.49639,0.001567079
9.596352,0.000386652
9.696314,-0.003331389
9.796276,0.003628142
9.896238,-0.000720919
9.9962,0.000224435
10.096162,-0.001830286